iter,instr_idx,mnemonic,is_csr_flip,t1_cycles,wall_us
0,0,im2col,0,317161,5287.143
0,1,transpose,0,49014,817.828
0,2,QK,0,43573301,726230.593
0,3,softmax,0,303593,5061.691
0,4,newton,0,229428,3825.489
0,5,norm,0,133041,2219.012
0,6,PV,0,14965539,249429.864
1,0,im2col,0,315742,5263.283
1,1,transpose,0,48890,815.738
1,2,QK,0,43561434,726032.821
1,3,softmax,0,303128,5053.830
1,4,newton,0,228918,3816.929
1,5,norm,0,133085,2219.722
1,6,PV,0,14965912,249436.065
2,0,im2col,0,314825,5248.013
2,1,transpose,0,48996,817.498
2,2,QK,0,43566491,726117.062
2,3,softmax,0,303195,5055.061
2,4,newton,0,229328,3823.838
2,5,norm,0,133043,2218.992
2,6,PV,0,14967718,249466.185
3,0,im2col,0,318057,5301.853
3,1,transpose,0,49247,821.688
3,2,QK,0,43555710,725937.421
3,3,softmax,0,303168,5054.480
3,4,newton,0,229339,3823.998
3,5,norm,0,132903,2216.672
3,6,PV,0,14965379,249427.216
4,0,im2col,0,314812,5247.792
4,1,transpose,0,49049,818.378
4,2,QK,0,43560600,726018.891
4,3,softmax,0,303295,5056.601
4,4,newton,0,229415,3825.258
4,5,norm,0,132756,2214.212
4,6,PV,0,14965974,249437.135
5,0,im2col,0,314820,5247.943
5,1,transpose,0,49105,819.328
5,2,QK,0,43568460,726149.923
5,3,softmax,0,303477,5059.760
5,4,newton,0,229507,3826.758
5,5,norm,0,133072,2219.512
5,6,PV,0,14958285,249308.974
6,0,im2col,0,314819,5247.903
6,1,transpose,0,48948,816.668
6,2,QK,0,43581529,726367.735
6,3,softmax,0,303618,5061.991
6,4,newton,0,228935,3817.258
6,5,norm,0,133047,2219.092
6,6,PV,0,14966817,249451.155
7,0,im2col,0,314670,5245.442
7,1,transpose,0,48960,816.908
7,2,QK,0,43578337,726314.545
7,3,softmax,0,303442,5059.390
7,4,newton,0,228847,3815.738
7,5,norm,0,133040,2218.973
7,6,PV,0,14962695,249382.494
8,0,im2col,0,315261,5255.252
8,1,transpose,0,48840,814.908
8,2,QK,0,43582035,726376.195
8,3,softmax,0,303711,5063.672
8,4,newton,0,229411,3825.178
8,5,norm,0,133101,2220.012
8,6,PV,0,14964820,249417.894
9,0,im2col,0,314908,5249.372
9,1,transpose,0,49386,823.999
9,2,QK,0,43580954,726358.154
9,3,softmax,0,303307,5056.800
9,4,newton,0,228720,3813.669
9,5,norm,0,133076,2219.582
9,6,PV,0,14965965,249436.995
10,0,im2col,0,314761,5246.943
10,1,transpose,0,49005,817.638
10,2,QK,0,43579472,726333.434
10,3,softmax,0,303509,5060.171
10,4,newton,0,229055,3819.308
10,5,norm,0,132958,2217.592
10,6,PV,0,14962296,249375.834
11,0,im2col,0,314697,5245.893
11,1,transpose,0,48913,816.128
11,2,QK,0,43583869,726406.715
11,3,softmax,0,303724,5063.751
11,4,newton,0,228992,3818.219
11,5,norm,0,133220,2221.952
11,6,PV,0,14965377,249427.184
12,0,im2col,0,315954,5266.813
12,1,transpose,0,48843,814.938
12,2,QK,0,43579339,726331.224
12,3,softmax,0,303127,5053.930
12,4,newton,0,229392,3824.839
12,5,norm,0,132916,2216.932
12,6,PV,0,14962236,249374.864
13,0,im2col,0,314954,5250.153
13,1,transpose,0,48862,815.228
13,2,QK,0,43575652,726269.794
13,3,softmax,0,303645,5062.430
13,4,newton,0,229214,3821.898
13,5,norm,0,133117,2220.262
13,6,PV,0,14963538,249396.515
14,0,im2col,0,314567,5243.723
14,1,transpose,0,48888,815.678
14,2,QK,0,43574007,726242.374
14,3,softmax,0,303270,5056.340
14,4,newton,0,229054,3819.228
14,5,norm,0,133001,2218.332
14,6,PV,0,14966398,249444.315
15,0,im2col,0,314729,5246.443
15,1,transpose,0,49007,817.688
15,2,QK,0,43581908,726374.044
15,3,softmax,0,303243,5055.742
15,4,newton,0,229086,3819.768
15,5,norm,0,133125,2220.412
15,6,PV,0,14963037,249388.174
16,0,im2col,0,314824,5247.983
16,1,transpose,0,48889,815.718
16,2,QK,0,43582096,726377.205
16,3,softmax,0,303120,5053.670
16,4,newton,0,229405,3825.078
16,5,norm,0,132986,2218.072
16,6,PV,0,14961340,249359.905
17,0,im2col,0,315268,5255.402
17,1,transpose,0,48956,816.818
17,2,QK,0,43586676,726453.496
17,3,softmax,0,303515,5060.401
17,4,newton,0,230905,3850.038
17,5,norm,0,133024,2218.722
17,6,PV,0,14962821,249384.585
18,0,im2col,0,314949,5250.082
18,1,transpose,0,49045,818.328
18,2,QK,0,43579672,726336.755
18,3,softmax,0,303221,5055.491
18,4,newton,0,229004,3818.388
18,5,norm,0,133047,2219.092
18,6,PV,0,14961424,249361.314
19,0,im2col,0,314960,5250.272
19,1,transpose,0,48887,815.698
19,2,QK,0,43581952,726374.845
19,3,softmax,0,303330,5057.190
19,4,newton,0,229102,3820.049
19,5,norm,0,133011,2218.512
19,6,PV,0,14966031,249438.105
